Nitrogen,Potassium,Phosphorous,Fertilizer Name
11,0,38,DAP
8,9,30,Fourteen-Thirty Five-Fourteen
6,19,21,Ten-Twenty Six-Twenty Six
41,0,0,Urea
9,10,30,Fourteen-Thirty Five-Fourteen
24,0,19,Twenty Eight-Twenty Eight
4,17,17,Ten-Twenty Six-Twenty Six
39,0,0,Urea
15,0,41,DAP
12,0,10,Twenty-Twenty
12,0,40,DAP
12,0,40,DAP
14,0,37,DAP
15,0,40,DAP
11,0,37,DAP
12,0,38,DAP
15,0,40,DAP
13,0,36,DAP
13,0,36,DAP
14,0,40,DAP
11,0,37,DAP
12,0,35,DAP
11,0,36,DAP
12,0,40,DAP
11,0,36,DAP
14,0,40,DAP
12,0,40,DAP
12,0,40,DAP
11,0,36,DAP
14,0,39,DAP
14,0,37,DAP
11,0,37,DAP
12,0,40,DAP
13,0,35,DAP
14,0,35,DAP
11,0,36,DAP
13,0,39,DAP
10,0,37,DAP
14,0,36,DAP
14,0,37,DAP
14,0,37,DAP
14,0,35,DAP
13,0,40,DAP
14,0,40,DAP
14,0,40,DAP
10,0,35,DAP
14,0,40,DAP
12,0,41,DAP
12,0,41,DAP
14,0,39,DAP
12,0,35,DAP
12,0,41,DAP
12,0,40,DAP
11,0,37,DAP
13,0,38,DAP
12,0,40,DAP
11,0,36,DAP
11,0,35,DAP
13,0,39,DAP
13,0,38,DAP
12,0,41,DAP
13,0,40,DAP
12,0,41,DAP
12,0,41,DAP
11,0,36,DAP
11,0,37,DAP
13,0,38,DAP
14,0,37,DAP
14,0,36,DAP
12,0,40,DAP
10,0,35,DAP
12,0,41,DAP
14,0,35,DAP
11,0,37,DAP
12,0,40,DAP
13,0,35,DAP
11,0,35,DAP
11,0,36,DAP
13,0,39,DAP
13,0,41,DAP
10,0,35,DAP
12,0,41,DAP
13,0,40,DAP
11,0,36,DAP
13,0,41,DAP
13,0,36,DAP
12,0,39,DAP
13,0,38,DAP
14,0,40,DAP
12,0,41,DAP
11,0,35,DAP
13,0,40,DAP
14,0,37,DAP
14,0,36,DAP
15,0,40,DAP
14,0,40,DAP
13,0,41,DAP
11,0,39,DAP
14,0,35,DAP
11,0,38,DAP
12,0,40,DAP
11,0,38,DAP
12,0,39,DAP
14,0,40,DAP
13,0,38,DAP
15,0,37,DAP
12,0,39,DAP
12,0,40,DAP
13,0,38,DAP
13,0,39,DAP
14,0,40,DAP
14,0,37,DAP
13,0,40,DAP
14,0,40,DAP
12,0,36,DAP
12,0,40,DAP
13,0,40,DAP
13,0,40,DAP
14,0,41,DAP
11,0,37,DAP
12,0,40,DAP
12,0,40,DAP
12,0,40,DAP
12,0,40,DAP
11,0,36,DAP
15,0,37,DAP
11,0,38,DAP
12,0,40,DAP
13,0,38,DAP
14,0,37,DAP
13,0,40,DAP
12,0,39,DAP
12,0,40,DAP
10,0,35,DAP
10,0,36,DAP
14,0,40,DAP
14,0,40,DAP
12,0,41,DAP
13,0,36,DAP
14,0,41,DAP
12,0,40,DAP
14,0,39,DAP
10,0,36,DAP
14,0,35,DAP
13,0,35,DAP
12,0,36,DAP
11,0,37,DAP
14,0,41,DAP
13,0,41,DAP
12,0,39,DAP
13,0,40,DAP
14,0,35,DAP
12,0,40,DAP
12,0,41,DAP
14,0,37,DAP
12,0,35,DAP
12,0,41,DAP
13,0,40,DAP
12,0,40,DAP
11,0,35,DAP
10,0,35,DAP
12,0,40,DAP
14,0,35,DAP
12,0,39,DAP
12,0,40,DAP
14,0,40,DAP
12,0,40,DAP
14,0,37,DAP
13,0,36,DAP
14,0,41,DAP
11,0,38,DAP
12,0,39,DAP
14,0,37,DAP
9,7,29,Fourteen-Thirty Five-Fourteen
8,9,29,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
8,10,30,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
8,9,30,Fourteen-Thirty Five-Fourteen
9,8,28,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
9,7,31,Fourteen-Thirty Five-Fourteen
6,9,29,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
8,9,29,Fourteen-Thirty Five-Fourteen
7,8,30,Fourteen-Thirty Five-Fourteen
8,10,30,Fourteen-Thirty Five-Fourteen
8,8,29,Fourteen-Thirty Five-Fourteen
8,7,31,Fourteen-Thirty Five-Fourteen
8,9,30,Fourteen-Thirty Five-Fourteen
9,10,23,Fourteen-Thirty Five-Fourteen
8,7,30,Fourteen-Thirty Five-Fourteen
9,7,32,Fourteen-Thirty Five-Fourteen
7,7,30,Fourteen-Thirty Five-Fourteen
8,9,29,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
9,9,26,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
9,8,29,Fourteen-Thirty Five-Fourteen
9,9,29,Fourteen-Thirty Five-Fourteen
8,9,29,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
9,8,29,Fourteen-Thirty Five-Fourteen
9,7,29,Fourteen-Thirty Five-Fourteen
8,10,30,Fourteen-Thirty Five-Fourteen
6,8,28,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
8,9,29,Fourteen-Thirty Five-Fourteen
7,7,30,Fourteen-Thirty Five-Fourteen
8,8,28,Fourteen-Thirty Five-Fourteen
9,8,29,Fourteen-Thirty Five-Fourteen
9,8,28,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
7,7,30,Fourteen-Thirty Five-Fourteen
8,8,30,Fourteen-Thirty Five-Fourteen
8,7,30,Fourteen-Thirty Five-Fourteen
9,9,28,Fourteen-Thirty Five-Fourteen
7,8,28,Fourteen-Thirty Five-Fourteen
6,9,29,Fourteen-Thirty Five-Fourteen
5,9,27,Fourteen-Thirty Five-Fourteen
7,9,29,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
8,7,30,Fourteen-Thirty Five-Fourteen
8,8,29,Fourteen-Thirty Five-Fourteen
7,9,29,Fourteen-Thirty Five-Fourteen
9,8,29,Fourteen-Thirty Five-Fourteen
8,9,30,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
8,8,31,Fourteen-Thirty Five-Fourteen
8,7,28,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
8,8,28,Fourteen-Thirty Five-Fourteen
9,8,25,Fourteen-Thirty Five-Fourteen
7,9,29,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
9,8,28,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
8,7,31,Fourteen-Thirty Five-Fourteen
7,7,30,Fourteen-Thirty Five-Fourteen
8,7,32,Fourteen-Thirty Five-Fourteen
10,7,29,Fourteen-Thirty Five-Fourteen
7,9,29,Fourteen-Thirty Five-Fourteen
7,8,32,Fourteen-Thirty Five-Fourteen
8,9,30,Fourteen-Thirty Five-Fourteen
9,8,29,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
8,8,30,Fourteen-Thirty Five-Fourteen
8,9,30,Fourteen-Thirty Five-Fourteen
9,9,29,Fourteen-Thirty Five-Fourteen
8,8,30,Fourteen-Thirty Five-Fourteen
7,8,29,Fourteen-Thirty Five-Fourteen
7,8,29,Fourteen-Thirty Five-Fourteen
8,8,28,Fourteen-Thirty Five-Fourteen
5,9,29,Fourteen-Thirty Five-Fourteen
8,7,31,Fourteen-Thirty Five-Fourteen
8,7,32,Fourteen-Thirty Five-Fourteen
9,7,29,Fourteen-Thirty Five-Fourteen
9,8,29,Fourteen-Thirty Five-Fourteen
8,7,29,Fourteen-Thirty Five-Fourteen
8,8,28,Fourteen-Thirty Five-Fourteen
9,8,28,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
5,9,29,Fourteen-Thirty Five-Fourteen
8,8,31,Fourteen-Thirty Five-Fourteen
7,8,28,Fourteen-Thirty Five-Fourteen
8,9,30,Fourteen-Thirty Five-Fourteen
9,9,23,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
6,9,29,Fourteen-Thirty Five-Fourteen
8,8,28,Fourteen-Thirty Five-Fourteen
9,7,30,Fourteen-Thirty Five-Fourteen
9,8,29,Fourteen-Thirty Five-Fourteen
8,9,29,Fourteen-Thirty Five-Fourteen
9,7,32,Fourteen-Thirty Five-Fourteen
9,8,29,Fourteen-Thirty Five-Fourteen
8,9,30,Fourteen-Thirty Five-Fourteen
9,7,29,Fourteen-Thirty Five-Fourteen
8,9,29,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
8,9,29,Fourteen-Thirty Five-Fourteen
8,9,31,Fourteen-Thirty Five-Fourteen
10,7,30,Fourteen-Thirty Five-Fourteen
5,9,29,Fourteen-Thirty Five-Fourteen
8,9,29,Fourteen-Thirty Five-Fourteen
9,8,28,Fourteen-Thirty Five-Fourteen
8,8,30,Fourteen-Thirty Five-Fourteen
9,7,32,Fourteen-Thirty Five-Fourteen
8,10,30,Fourteen-Thirty Five-Fourteen
9,7,32,Fourteen-Thirty Five-Fourteen
7,8,30,Fourteen-Thirty Five-Fourteen
7,9,30,Fourteen-Thirty Five-Fourteen
8,7,32,Fourteen-Thirty Five-Fourteen
8,7,30,Fourteen-Thirty Five-Fourteen
9,7,32,Fourteen-Thirty Five-Fourteen
8,7,32,Fourteen-Thirty Five-Fourteen
11,13,12,Seventeen-Seventeen-Seventeen
12,14,12,Seventeen-Seventeen-Seventeen
13,14,12,Seventeen-Seventeen-Seventeen
14,14,11,Seventeen-Seventeen-Seventeen
11,13,12,Seventeen-Seventeen-Seventeen
14,13,11,Seventeen-Seventeen-Seventeen
10,13,14,Seventeen-Seventeen-Seventeen
10,13,14,Seventeen-Seventeen-Seventeen
13,13,12,Seventeen-Seventeen-Seventeen
14,13,11,Seventeen-Seventeen-Seventeen
11,10,13,Seventeen-Seventeen-Seventeen
12,14,11,Seventeen-Seventeen-Seventeen
11,12,14,Seventeen-Seventeen-Seventeen
12,13,13,Seventeen-Seventeen-Seventeen
13,14,12,Seventeen-Seventeen-Seventeen
11,11,14,Seventeen-Seventeen-Seventeen
14,14,11,Seventeen-Seventeen-Seventeen
11,13,12,Seventeen-Seventeen-Seventeen
10,12,14,Seventeen-Seventeen-Seventeen
14,14,11,Seventeen-Seventeen-Seventeen
13,13,12,Seventeen-Seventeen-Seventeen
10,12,14,Seventeen-Seventeen-Seventeen
11,10,13,Seventeen-Seventeen-Seventeen
13,14,12,Seventeen-Seventeen-Seventeen
11,13,13,Seventeen-Seventeen-Seventeen
10,11,13,Seventeen-Seventeen-Seventeen
13,14,12,Seventeen-Seventeen-Seventeen
14,14,11,Seventeen-Seventeen-Seventeen
10,13,13,Seventeen-Seventeen-Seventeen
14,14,11,Seventeen-Seventeen-Seventeen
12,10,12,Seventeen-Seventeen-Seventeen
13,13,11,Seventeen-Seventeen-Seventeen
10,12,13,Seventeen-Seventeen-Seventeen
11,13,13,Seventeen-Seventeen-Seventeen
11,12,15,Seventeen-Seventeen-Seventeen
11,11,13,Seventeen-Seventeen-Seventeen
11,13,12,Seventeen-Seventeen-Seventeen
11,10,13,Seventeen-Seventeen-Seventeen
13,14,12,Seventeen-Seventeen-Seventeen
12,13,13,Seventeen-Seventeen-Seventeen
13,14,12,Seventeen-Seventeen-Seventeen
10,12,13,Seventeen-Seventeen-Seventeen
10,13,13,Seventeen-Seventeen-Seventeen
12,12,12,Seventeen-Seventeen-Seventeen
11,10,13,Seventeen-Seventeen-Seventeen
14,14,11,Seventeen-Seventeen-Seventeen
12,12,12,Seventeen-Seventeen-Seventeen
11,13,12,Seventeen-Seventeen-Seventeen
14,14,11,Seventeen-Seventeen-Seventeen
11,12,15,Seventeen-Seventeen-Seventeen
11,12,14,Seventeen-Seventeen-Seventeen
13,14,12,Seventeen-Seventeen-Seventeen
10,11,13,Seventeen-Seventeen-Seventeen
11,12,15,Seventeen-Seventeen-Seventeen
11,13,13,Seventeen-Seventeen-Seventeen
11,13,14,Seventeen-Seventeen-Seventeen
10,12,13,Seventeen-Seventeen-Seventeen
14,13,11,Seventeen-Seventeen-Seventeen
14,14,11,Seventeen-Seventeen-Seventeen
13,14,12,Seventeen-Seventeen-Seventeen
12,14,11,Seventeen-Seventeen-Seventeen
12,13,13,Seventeen-Seventeen-Seventeen
11,12,15,Seventeen-Seventeen-Seventeen
5,18,15,Ten-Twenty Six-Twenty Six
5,17,16,Ten-Twenty Six-Twenty Six
6,19,17,Ten-Twenty Six-Twenty Six
12,17,18,Ten-Twenty Six-Twenty Six
11,17,15,Ten-Twenty Six-Twenty Six
11,18,19,Ten-Twenty Six-Twenty Six
6,17,20,Ten-Twenty Six-Twenty Six
6,17,20,Ten-Twenty Six-Twenty Six
10,18,18,Ten-Twenty Six-Twenty Six
11,18,18,Ten-Twenty Six-Twenty Six
5,17,15,Ten-Twenty Six-Twenty Six
8,16,19,Ten-Twenty Six-Twenty Six
4,17,16,Ten-Twenty Six-Twenty Six
8,18,17,Ten-Twenty Six-Twenty Six
11,18,19,Ten-Twenty Six-Twenty Six
4,17,16,Ten-Twenty Six-Twenty Six
12,17,16,Ten-Twenty Six-Twenty Six
6,16,19,Ten-Twenty Six-Twenty Six
5,16,18,Ten-Twenty Six-Twenty Six
11,17,19,Ten-Twenty Six-Twenty Six
9,18,17,Ten-Twenty Six-Twenty Six
4,17,18,Ten-Twenty Six-Twenty Six
6,19,17,Ten-Twenty Six-Twenty Six
12,17,17,Ten-Twenty Six-Twenty Six
6,16,18,Ten-Twenty Six-Twenty Six
6,16,17,Ten-Twenty Six-Twenty Six
5,18,16,Ten-Twenty Six-Twenty Six
12,17,16,Ten-Twenty Six-Twenty Six
6,16,19,Ten-Twenty Six-Twenty Six
7,18,16,Ten-Twenty Six-Twenty Six
5,18,16,Ten-Twenty Six-Twenty Six
10,18,17,Ten-Twenty Six-Twenty Six
7,16,19,Ten-Twenty Six-Twenty Six
6,16,18,Ten-Twenty Six-Twenty Six
6,18,20,Ten-Twenty Six-Twenty Six
4,17,15,Ten-Twenty Six-Twenty Six
11,17,17,Ten-Twenty Six-Twenty Six
6,19,16,Ten-Twenty Six-Twenty Six
5,18,16,Ten-Twenty Six-Twenty Six
6,19,18,Ten-Twenty Six-Twenty Six
9,17,18,Ten-Twenty Six-Twenty Six
7,16,19,Ten-Twenty Six-Twenty Six
9,16,18,Ten-Twenty Six-Twenty Six
5,18,18,Ten-Twenty Six-Twenty Six
4,17,15,Ten-Twenty Six-Twenty Six
5,18,15,Ten-Twenty Six-Twenty Six
5,18,18,Ten-Twenty Six-Twenty Six
5,18,16,Ten-Twenty Six-Twenty Six
6,18,16,Ten-Twenty Six-Twenty Six
6,17,20,Ten-Twenty Six-Twenty Six
4,17,18,Ten-Twenty Six-Twenty Six
6,18,16,Ten-Twenty Six-Twenty Six
9,16,19,Ten-Twenty Six-Twenty Six
4,17,16,Ten-Twenty Six-Twenty Six
6,16,17,Ten-Twenty Six-Twenty Six
6,19,20,Ten-Twenty Six-Twenty Six
8,16,19,Ten-Twenty Six-Twenty Six
11,18,19,Ten-Twenty Six-Twenty Six
12,17,17,Ten-Twenty Six-Twenty Six
12,17,18,Ten-Twenty Six-Twenty Six
11,17,16,Ten-Twenty Six-Twenty Six
8,18,17,Ten-Twenty Six-Twenty Six
6,18,20,Ten-Twenty Six-Twenty Six
23,0,23,Twenty Eight-Twenty Eight
23,0,23,Twenty Eight-Twenty Eight
22,0,21,Twenty Eight-Twenty Eight
21,0,23,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
22,0,21,Twenty Eight-Twenty Eight
22,0,21,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
21,0,19,Twenty Eight-Twenty Eight
23,0,20,Twenty Eight-Twenty Eight
23,0,22,Twenty Eight-Twenty Eight
22,0,20,Twenty Eight-Twenty Eight
23,0,22,Twenty Eight-Twenty Eight
22,0,23,Twenty Eight-Twenty Eight
22,0,20,Twenty Eight-Twenty Eight
22,0,21,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
21,0,26,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
23,0,20,Twenty Eight-Twenty Eight
23,0,21,Twenty Eight-Twenty Eight
23,0,20,Twenty Eight-Twenty Eight
23,0,18,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
21,0,27,Twenty Eight-Twenty Eight
23,0,23,Twenty Eight-Twenty Eight
22,0,23,Twenty Eight-Twenty Eight
21,0,23,Twenty Eight-Twenty Eight
22,0,21,Twenty Eight-Twenty Eight
22,0,23,Twenty Eight-Twenty Eight
22,0,24,Twenty Eight-Twenty Eight
23,0,23,Twenty Eight-Twenty Eight
21,0,22,Twenty Eight-Twenty Eight
21,0,19,Twenty Eight-Twenty Eight
22,0,24,Twenty Eight-Twenty Eight
21,0,19,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
22,0,20,Twenty Eight-Twenty Eight
23,0,22,Twenty Eight-Twenty Eight
21,0,19,Twenty Eight-Twenty Eight
22,0,19,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
23,0,20,Twenty Eight-Twenty Eight
21,0,18,Twenty Eight-Twenty Eight
23,0,22,Twenty Eight-Twenty Eight
22,0,20,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
22,0,20,Twenty Eight-Twenty Eight
24,0,19,Twenty Eight-Twenty Eight
21,0,18,Twenty Eight-Twenty Eight
22,0,21,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
21,0,24,Twenty Eight-Twenty Eight
24,0,18,Twenty Eight-Twenty Eight
22,0,24,Twenty Eight-Twenty Eight
22,0,20,Twenty Eight-Twenty Eight
22,0,19,Twenty Eight-Twenty Eight
22,0,20,Twenty Eight-Twenty Eight
21,0,18,Twenty Eight-Twenty Eight
22,0,23,Twenty Eight-Twenty Eight
22,0,19,Twenty Eight-Twenty Eight
21,0,23,Twenty Eight-Twenty Eight
21,0,22,Twenty Eight-Twenty Eight
22,0,19,Twenty Eight-Twenty Eight
24,0,19,Twenty Eight-Twenty Eight
22,0,19,Twenty Eight-Twenty Eight
21,0,19,Twenty Eight-Twenty Eight
21,0,23,Twenty Eight-Twenty Eight
23,0,21,Twenty Eight-Twenty Eight
23,0,20,Twenty Eight-Twenty Eight
23,0,23,Twenty Eight-Twenty Eight
22,0,21,Twenty Eight-Twenty Eight
21,0,26,Twenty Eight-Twenty Eight
21,0,23,Twenty Eight-Twenty Eight
22,0,21,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
23,0,22,Twenty Eight-Twenty Eight
24,0,19,Twenty Eight-Twenty Eight
23,0,22,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
24,0,22,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
24,0,18,Twenty Eight-Twenty Eight
23,0,23,Twenty Eight-Twenty Eight
23,0,22,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
21,0,23,Twenty Eight-Twenty Eight
22,0,20,Twenty Eight-Twenty Eight
22,0,18,Twenty Eight-Twenty Eight
22,0,20,Twenty Eight-Twenty Eight
22,0,18,Twenty Eight-Twenty Eight
21,0,22,Twenty Eight-Twenty Eight
24,0,22,Twenty Eight-Twenty Eight
24,0,18,Twenty Eight-Twenty Eight
21,0,18,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
22,0,20,Twenty Eight-Twenty Eight
24,0,18,Twenty Eight-Twenty Eight
23,0,22,Twenty Eight-Twenty Eight
21,0,18,Twenty Eight-Twenty Eight
22,0,20,Twenty Eight-Twenty Eight
22,0,21,Twenty Eight-Twenty Eight
23,0,21,Twenty Eight-Twenty Eight
22,0,19,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
23,0,20,Twenty Eight-Twenty Eight
22,0,20,Twenty Eight-Twenty Eight
22,0,23,Twenty Eight-Twenty Eight
21,0,23,Twenty Eight-Twenty Eight
24,0,18,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
23,0,23,Twenty Eight-Twenty Eight
22,0,21,Twenty Eight-Twenty Eight
21,0,27,Twenty Eight-Twenty Eight
21,0,19,Twenty Eight-Twenty Eight
22,0,20,Twenty Eight-Twenty Eight
22,0,20,Twenty Eight-Twenty Eight
23,0,20,Twenty Eight-Twenty Eight
23,0,23,Twenty Eight-Twenty Eight
21,0,18,Twenty Eight-Twenty Eight
21,0,27,Twenty Eight-Twenty Eight
23,0,23,Twenty Eight-Twenty Eight
23,0,18,Twenty Eight-Twenty Eight
22,0,24,Twenty Eight-Twenty Eight
22,0,24,Twenty Eight-Twenty Eight
21,0,21,Twenty Eight-Twenty Eight
23,0,23,Twenty Eight-Twenty Eight
22,0,19,Twenty Eight-Twenty Eight
22,0,20,Twenty Eight-Twenty Eight
23,0,22,Twenty Eight-Twenty Eight
23,0,18,Twenty Eight-Twenty Eight
22,0,23,Twenty Eight-Twenty Eight
22,0,24,Twenty Eight-Twenty Eight
24,0,20,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
22,0,20,Twenty Eight-Twenty Eight
23,0,20,Twenty Eight-Twenty Eight
23,0,21,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
23,0,18,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
22,0,23,Twenty Eight-Twenty Eight
23,0,20,Twenty Eight-Twenty Eight
21,0,18,Twenty Eight-Twenty Eight
23,0,22,Twenty Eight-Twenty Eight
23,0,22,Twenty Eight-Twenty Eight
24,0,19,Twenty Eight-Twenty Eight
23,0,19,Twenty Eight-Twenty Eight
9,0,13,Twenty-Twenty
13,0,11,Twenty-Twenty
10,0,9,Twenty-Twenty
13,0,13,Twenty-Twenty
12,0,13,Twenty-Twenty
9,0,11,Twenty-Twenty
13,0,13,Twenty-Twenty
9,0,14,Twenty-Twenty
10,0,9,Twenty-Twenty
12,0,8,Twenty-Twenty
8,0,14,Twenty-Twenty
9,0,9,Twenty-Twenty
11,0,9,Twenty-Twenty
11,0,13,Twenty-Twenty
13,0,13,Twenty-Twenty
10,0,14,Twenty-Twenty
9,0,14,Twenty-Twenty
13,0,13,Twenty-Twenty
9,0,12,Twenty-Twenty
10,0,14,Twenty-Twenty
12,0,8,Twenty-Twenty
11,0,14,Twenty-Twenty
13,0,10,Twenty-Twenty
11,0,8,Twenty-Twenty
11,0,8,Twenty-Twenty
8,0,14,Twenty-Twenty
11,0,8,Twenty-Twenty
10,0,14,Twenty-Twenty
12,0,13,Twenty-Twenty
11,0,9,Twenty-Twenty
9,0,12,Twenty-Twenty
10,0,14,Twenty-Twenty
9,0,9,Twenty-Twenty
13,0,13,Twenty-Twenty
8,0,11,Twenty-Twenty
13,0,10,Twenty-Twenty
10,0,10,Twenty-Twenty
11,0,14,Twenty-Twenty
12,0,8,Twenty-Twenty
11,0,9,Twenty-Twenty
9,0,14,Twenty-Twenty
9,0,9,Twenty-Twenty
10,0,14,Twenty-Twenty
11,0,9,Twenty-Twenty
10,0,8,Twenty-Twenty
8,0,14,Twenty-Twenty
13,0,12,Twenty-Twenty
9,0,15,Twenty-Twenty
12,0,13,Twenty-Twenty
9,0,10,Twenty-Twenty
10,0,9,Twenty-Twenty
10,0,9,Twenty-Twenty
12,0,14,Twenty-Twenty
9,0,10,Twenty-Twenty
10,0,14,Twenty-Twenty
11,0,9,Twenty-Twenty
13,0,10,Twenty-Twenty
12,0,9,Twenty-Twenty
12,0,14,Twenty-Twenty
11,0,8,Twenty-Twenty
12,0,9,Twenty-Twenty
9,0,14,Twenty-Twenty
13,0,12,Twenty-Twenty
11,0,8,Twenty-Twenty
11,0,14,Twenty-Twenty
